,DEPARTEMENT_NUM,HONORAIRES LIBRES
0,01,0.2140543151743748
1,02,0.11503583309999858
2,03,0.16853769832397672
3,04,0.11009983175588271
4,05,0.07907453259008214
5,06,0.4469585894646249
6,07,0.20514286752060545
7,08,0.04044477028347996
8,09,0.029129464285714283
9,10,0.18702411048760934
10,11,0.13620438303031415
11,12,0.05521946627964901
12,13,0.30950905272348456
13,14,0.2123130273197083
14,15,0.013488933547073081
15,16,0.13403431731541418
16,17,0.26854045629789247
17,18,0.17688135952997927
18,19,0.0905362720872768
19,21,0.3143097595557174
20,22,0.1380996036059651
21,23,0.004478904495142215
22,24,0.13591416428659314
23,25,0.21139672400438558
24,26,0.2367173607388103
25,27,0.19877393611907004
26,28,0.1482896188778542
27,29,0.11321979965743022
28,2A,0.06972772764284325
29,2B,0.11725361258665377
30,30,0.239807205518924
31,31,0.20540079337813796
32,32,0.023425661068471684
33,33,0.3667346816356455
34,34,0.26448734213954406
35,35,0.18846532549395995
36,36,0.06428952308871808
37,37,0.22202454336904773
38,38,0.3403439032557991
39,39,0.14614548152970733
40,40,0.1439083146353085
41,41,0.08690525994079852
42,42,0.2316212964737639
43,43,0.07344152272887039
44,44,0.2814997849756038
45,45,0.2837201134573362
46,46,0.0014175997703129485
47,47,0.12545676886656693
48,48,0.0
49,49,0.20651536185900676
50,50,0.13740757006097587
51,51,0.2824953019492086
52,52,0.09279295872122875
53,53,0.07652604278710473
54,54,0.21298389891350705
55,55,0.01688858126445784
56,56,0.12370827435705757
57,57,0.14762405011137567
58,58,0.06870693409154947
59,59,0.3097277844839754
60,60,0.2461589012428252
61,61,0.03138723138723139
62,62,0.21440906997636924
63,63,0.2274623985286917
64,64,0.2616945929271752
65,65,0.06117283297950867
66,66,0.1539893946918268
67,67,0.3398505720523162
68,68,0.2787570418540575
69,69,0.5122139053779711
70,70,0.009807552367586672
71,71,0.2161527191194711
72,72,0.1783845048591649
73,73,0.16930652322860928
74,74,0.3074257721674645
75,75,0.5545064120579722
76,76,0.26903241726477545
77,77,0.3750177129997558
78,78,0.4401876960135246
79,79,0.09376800695320162
80,80,0.19864417416249067
81,81,0.06687408110242027
82,82,0.10676563781204279
83,83,0.30556139083574857
84,84,0.2537709519260297
85,85,0.1400488854048466
86,86,0.18396537461885967
87,87,0.23326590611256942
88,88,0.10442188602134199
89,89,0.15058628388492182
90,90,0.08134179612954298
91,91,0.35719068949962757
92,92,0.4743827133965704
93,93,0.30399484093276274
94,94,0.395491538634697
95,95,0.33006657783508125
96,971,0.11526308830545029
97,972,0.19909498840007228
98,973,0.035772415762421475
99,974,0.11288081434362875
100,976,0.0
