Time,bitfinex,bitstamp,cex.io,coinbase,gemini,hitbtc,itbit,kraken,therocktrading,min,max,lower,bigger
2017-10-31 16:00:00,6376.85949163057,6369.8012644231,6347.759642904301,6383.27114138818,6374.83689834026,6370.56812121213,6373.68981012658,6386.0589473683995,6388.19333333333,6347.759642904301,6388.19333333333,cex.io,therocktrading
2017-10-31 17:00:00,6345.72951571431,6347.05093711468,6341.90795088652,6358.57130893993,6356.7553492193,6353.13094664373,6348.72406976745,6357.88258992808,6364.09142857143,6341.90795088652,6364.09142857143,cex.io,therocktrading
2017-10-31 18:00:00,6349.09192200558,6345.854126455911,6330.09629196218,6359.5274602360105,6355.96465851172,6351.35640419948,6351.56178571429,6363.446123260451,6365.43,6330.09629196218,6365.43,cex.io,therocktrading
2017-10-31 19:00:00,6320.36818118018,6321.68783946489,6316.69688038585,6334.5526426630295,6324.019022633771,6322.86732101616,6323.29544,6336.7439236111095,6342.245,6316.69688038585,6342.245,cex.io,therocktrading
2017-10-31 20:00:00,6363.30680365296,6359.615121293829,6339.63050861538,6364.5912715678605,6359.969459459439,6358.040775401059,6359.88428571428,6369.008009708729,6346.61,6339.63050861538,6369.008009708729,cex.io,kraken
2017-10-31 21:00:00,6381.04731351073,6377.66062414268,6359.642257617729,6382.41931196245,6378.96286298565,6373.41256594727,6378.64657407407,6393.099363057329,6387.85666666667,6359.642257617729,6393.099363057329,cex.io,kraken
2017-10-31 22:00:00,6400.869096728349,6394.433132530129,6386.79780770714,6406.23058791514,6393.19277327931,6394.98088167053,6397.0855,6406.20641646489,6405.25,6386.79780770714,6406.23058791514,cex.io,coinbase
2017-10-31 23:00:00,6437.12544834574,6415.424383078729,6420.3183012739,6423.666023250229,6424.855812655091,6428.60721682848,6425.880909090911,6423.71699561402,6426.287272727271,6415.424383078729,6437.12544834574,bitstamp,bitfinex
2017-11-01 00:00:00,6402.63991935488,6389.062003610121,6417.8523154596205,6404.44751164959,6401.01755424064,6407.69463157895,6396.37773333333,6412.85685410334,6424.71333333333,6389.062003610121,6424.71333333333,bitstamp,therocktrading
2017-11-01 01:00:00,6402.59687922224,6386.562931034489,6410.14515728643,6407.79102392877,6398.0690362812,6402.65192697769,6400.4834,6411.97567567568,,6386.562931034489,6411.97567567568,bitstamp,kraken
2017-11-01 02:00:00,6409.90044820719,6391.8537697516895,6424.84646475771,6419.59798050134,6414.905951035749,6412.418602150539,6412.372380952379,6403.350069930059,6409.0933333333305,6391.8537697516895,6424.84646475771,bitstamp,cex.io
2017-11-01 03:00:00,6434.955102739761,6420.55814173228,6435.00039372549,6448.26679551818,6440.865659397719,6431.87369068541,6439.44285714286,6432.43369369369,6431.83875,6420.55814173228,6448.26679551818,bitstamp,coinbase
2017-11-01 04:00:00,6374.01226271001,6374.23012256271,6403.9724981176505,6396.32537461772,6388.46259119496,6372.8405331412,6382.2295959595995,6386.72702702703,,6372.8405331412,6403.9724981176505,hitbtc,cex.io
2017-11-01 05:00:00,6381.860734149051,6375.80296132599,6395.5829247678,6394.52897196263,6385.40728241561,6373.98041666666,6382.6443902439005,6401.78881118881,,6373.98041666666,6401.78881118881,hitbtc,kraken
2017-11-01 06:00:00,6386.11097197378,6388.43781558725,6404.31063451328,6402.32302588997,6387.24238281251,6386.06455944054,6393.24,6405.096923076921,6420.975,6386.06455944054,6420.975,hitbtc,therocktrading
2017-11-01 07:00:00,6383.6839989421305,6385.83249589491,6409.39934480875,6406.66391553335,6393.062941176469,6380.48994716979,6397.1921875,6411.04547511313,,6380.48994716979,6411.04547511313,hitbtc,kraken
2017-11-01 08:00:00,6432.98515654959,6438.62641819943,6434.9134860294,6440.11927331189,6431.40920668062,6433.48901112485,6433.24418604651,6433.55923913047,6424.1875,6424.1875,6440.11927331189,therocktrading,coinbase
2017-11-01 09:00:00,6504.059953441059,6506.369980670121,6492.643145855961,6506.06335119053,6503.91054390054,6499.93050285714,6518.070223463679,6516.192709622,6480.8523809523795,6480.8523809523795,6518.070223463679,therocktrading,itbit
2017-11-01 10:00:00,6548.133334925279,6549.05589296828,6564.41195295069,6563.08720648688,6570.572347973,6546.66488651536,6558.41275510204,6591.64349859681,6393.0670212766,6393.0670212766,6591.64349859681,therocktrading,kraken
2017-11-01 11:00:00,6559.410319834,6560.31802816901,6577.30386044609,6585.481327027829,6591.099031111121,6564.44542475727,6573.04169491525,6619.65088495573,6575.65571428572,6559.410319834,6619.65088495573,bitfinex,kraken
2017-11-01 12:00:00,6494.64992528389,6498.84729401563,6537.84306385106,6532.5871220604295,6521.021756756751,6502.467923728829,6514.80560439561,6568.963546709991,6456.611999999999,6456.611999999999,6568.963546709991,therocktrading,kraken
2017-11-01 13:00:00,6479.620468914561,6497.21231404959,6528.38152833753,6506.85568151867,6502.1046912521,6486.97292089249,6494.3317877095,6551.56220238095,6545.37933333333,6479.620468914561,6551.56220238095,bitfinex,kraken
2017-11-01 14:00:00,6518.442139917641,6532.96310714287,6554.62618814815,6539.21414641043,6535.000936132989,6516.41358381505,6530.28445652173,6579.672376873659,6436.061538461539,6436.061538461539,6579.672376873659,therocktrading,kraken
2017-11-01 15:00:00,6534.114992775711,6546.1861497890395,6580.459238571421,6556.67082735326,6551.85438990179,6537.51404109589,6547.8066442953,6591.31712184873,6537.0495,6534.114992775711,6591.31712184873,bitfinex,kraken
2017-11-01 16:00:00,6579.43167320635,6589.47473224681,6601.86751755146,6604.24339780215,6598.15487326245,6585.75606864276,6596.329886363629,6626.13754237289,6620.33583333333,6579.43167320635,6626.13754237289,bitfinex,kraken
